OBJECTID_1,FULLADDR,ADDRNUM,STREETNAME,STREETSUFF
14,1890 VIOLET AVE,1890,VIOLET,AVE
33,3108 KINGS RIDGE BLVD,3108,KINGS RIDGE,BLVD
46,4774 VALMONT RD,4774,VALMONT,RD
47,5381 STERLING DR,5381,STERLING,DR
54,1634 N 63RD ST,1634,63RD,ST
55,1726 N 63RD ST,1726,63RD,ST
58,3860 FOLSOM ST,3860,FOLSOM,ST
156,3827 26TH ST,3827,26TH,ST
158,3820 26TH ST,3820,26TH,ST
160,3831 30TH ST,3831,30TH,ST
162,3000 CENTER GREEN DR,3000,CENTER GREEN,DR
176,4016 26TH ST,4016,26TH,ST
178,4140 26TH ST,4140,26TH,ST
192,2503 NORWOOD AVE,2503,NORWOOD,AVE
203,4086 26TH ST,4086,26TH,ST
207,3993 26TH ST,3993,26TH,ST
211,4090 26TH ST,4090,26TH,ST
214,3986 26TH ST,3986,26TH,ST
217,3833 26TH ST,3833,26TH,ST
218,1336 N TEAL CT,1336,TEAL,CT
221,3890 26TH ST,3890,26TH,ST
224,4094 26TH ST,4094,26TH,ST
230,3756 26TH ST,3756,26TH,ST
231,4130 26TH ST,4130,26TH,ST
235,3835 30TH ST,3835,30TH,ST
239,3811 26TH ST,3811,26TH,ST
241,4120 26TH ST,4120,26TH,ST
251,4066 26TH ST,4066,26TH,ST
258,3841 26TH ST,3841,26TH,ST
262,3819 26TH ST,3819,26TH,ST
265,3790 26TH ST,3790,26TH,ST
279,3850 26TH ST,3850,26TH,ST
287,3836 26TH ST,3836,26TH,ST
290,3881 26TH ST,3881,26TH,ST
305,2125 UPLAND AVE,2125,UPLAND,AVE
306,1881 9TH ST,1881,9TH,ST
309,3830 FOLSOM ST,3830,FOLSOM,ST
321,3788 26TH ST,3788,26TH,ST
324,3841 N 26TH ST,3841,26TH,ST
328,3881 N 26TH ST,3881,26TH,ST
330,HUMANE SOCIETY, , , 
332,3790 N 26TH ST,3790,26TH,ST
333,4016 N 26TH ST,4016,26TH,ST
334,3827 N 26TH ST,3827,26TH,ST
389,4140 N 26TH ST,4140,26TH,ST
390,3831 N 30TH ST,3831,30TH,ST
391,4094 N 26TH ST,4094,26TH,ST
397,4120 N 26TH ST,4120,26TH,ST
398,3770 N 26TH ST,3770,26TH,ST
400,4130 N 26TH ST,4130,26TH,ST
401,3836 N 26TH ST,3826,26TH,ST
402,1336 TEAL CT,1336,TEAL,CT
403,4018 N 26TH ST,4018,26TH,ST
405,"1881 9TH ST, UNIT 309",1881,9TH,ST
407,"1881 9TH ST, UNIT 105",1881,9TH,ST
409,"1881 9TH ST, UNIT 303",1881,9TH,ST
413,"5594 PENNSYLVANIA AVE, UNIT 6C",5594,PENNSYLVANIA,AVE
421,"1881 9TH ST, UNIT 302",1881,9TH,ST
423,3833 N 26TH ST,3833,26TH,ST
424,3996 N 26TH ST,3996,26TH,ST
431,4086 N 26TH ST,4086,26TH,ST
434,"1881 9TH ST, UNIT 110",1881,9TH,ST
435,"3000 CENTER GREEN DR, UNIT 220",3000,CENTER GREEN,DR
436,"3000 CENTER GREEN DR, UNIT 230",3000,CENTER GREEN,DR
438,2580 PREMIER,2580,PREMIER, 
440,3811 N 26TH ST,3811,26TH,ST
442,3993 N 26TH ST,3993,26TH,ST
539,3756 N 26TH ST,3756,26TH,ST
540,3850 N 26TH ST,3850,26TH,ST
541,3835 N 30TH ST,3835,30TH,ST
548,"1881 9TH ST, UNIT 335",1881,9TH,ST
549,"1881 9TH ST, UNIT 103",1881,9TH,ST
550,"1881 9TH ST, UNIT 120",1881,9TH,ST
555,"1881 9TH ST, UNIT 321",1881,9TH,ST
558,"1881 9TH ST, UNIT 200",1881,9TH,ST
559,"1881 9TH ST, UNIT 125",1881,9TH,ST
563,2960 S CENTER GREEN CT,2960,CENTER GREEN,CT
567,"3000 CENTER GREEN DR, UNIT 200",3000,CENTER GREEN,DR
568,"3000 CENTER GREEN DR, UNIT 215",3000,CENTER GREEN,DR
573,2580 PREMIER PL,2580,PREMIER,PL
577,4018 26TH ST,4018,26TH,ST
579,4090 N 26TH ST,4090,26TH,ST
584,INDUSTRIAL HOUSING DISTRIBUTION CENTER, , , 
585,FOUNDATION CENTER, , , 
588,"1881 9TH ST, UNIT 115",1881,9TH,ST
650,"3000 CENTER GREEN DR, UNIT 250",3000,CENTER GREEN,DR
677,4066 N 26TH ST,4066,26TH,ST
678,587 UCB, , , 
681,3986 N 26TH ST,3986,26TH,ST
685,"1881 9TH ST, UNIT 319",1881,9TH,ST
686,"1881 9TH ST, UNIT 320",1881,9TH,ST
690,"1881 9TH ST, UNIT 305",1881,9TH,ST
752,3890 N 26TH ST,3890,26TH,ST
759,3819 N 26TH ST,3819,26TH,ST
771,1364 TEAL CT,1364,TEAL,CT
773,2901 N 55TH ST,2901,55TH,ST
775,3820 N 26TH ST,3820,26TH,ST
776,2594 PREMIER,2594,PREMIER,PL
873,2060 VINE AVE,2060,VINE,AVE
874,2080 VINE AVE,2080,VINE,AVE
875,"717 UNIVERSITY AVE, UNIT A",717,UNIVERSITY,AVE
876,"717 UNIVERSITY AVE, UNIT B",717,UNIVERSITY,AVE
980,5089 VALMONT RD,5089,VALMONT,RD
981,5071 VALMONT RD,5071,VALMONT,RD
982,5083 VALMONT RD,5083,VALMONT,RD
983,5059 VALMONT RD,5059,VALMONT,RD
984,5053 VALMONT RD,5053,VALMONT,RD
986,5047 VALMONT RD,5047,VALMONT,RD
1015,5602 PENNSYLVANIA AVE,5602,PENNSYLVANIA,AVE
1103,2945 ISLAND DR,2945,ISLAND,DR
1106,"2945 ISLAND DR, UNIT A",2945,ISLAND,DR
1107,"2945 ISLAND DR, UNIT B",2945,ISLAND,DR
1195,INT BASELINE RD & CHERRYVALE RD, , , 
1197,BLK 600 55TH ST,600,55TH,ST
1198,BLK 550 55TH ST,550,5TH,ST
1200,2130 UPLAND AVE,2130,UPLAND,AVE
1204,1179 CHERRYVALE RD,1179,CHERRYVALE,RD
